Profiling results:
------------------

Executable name: D:\GitHub\VisualFBEditor\Controls\MyFbFramework\examples\Grid\Grid Example.exe
Launched on: 02-09-2025, 11:50:06
Total program execution time: 300.9 seconds


Per function results:

        Function:                                                                         Count:       Time:    Total%:    Proc%:
        GETWINDOWLONGPTR                                                                       4     0.00000      0.00%     0.01%
        FB_WSTRCOMPARE                                                                         4     0.00000      0.00%     0.01%

DESTROYWINDOW                                                                                  2     0.00254      0.00%

        __ZN2MY3SYS5FORMS7CONTROL7Lt_50F0ER7MESSAGE@8                                          4     0.00070      0.00%    27.47%
        DEFWINDOWPROC                                                                          4     0.00037      0.00%    14.67%
        __ZN14CLASSCONTAINER12GETCLASSPROCEP6HWND__@4                                         12     0.00023      0.00%     9.18%
        CALLWINDOWPROC                                                                        12     0.00003      0.00%     1.11%
        __ZN2MY3SYS5FORMS7CONTROL7Lt_5110ER7MESSAGE@8                                         10     0.00003      0.00%     1.06%
        __ZN2MY3SYS6OBJECT9CLASSNAMEEv@4                                                      14     0.00001      0.00%     0.28%
        GETWINDOWLONGPTR                                                                      16     0.00000      0.00%     0.11%
        FB_WSTRCOMPARE                                                                        14     0.00000      0.00%     0.10%

DISPATCHMESSAGE                                                                              715     1.38165      0.46%

        CALLWINDOWPROC                                                                       503     1.09100      0.36%    78.96%
        __ZN2MY3SYS5FORMS7CONTROL7Lt_5110ER7MESSAGE@8                                        523     0.12900      0.04%     9.34%
        __ZN14CLASSCONTAINER12GETCLASSPROCEP6HWND__@4                                        503     0.01443      0.00%     1.04%
        __ZN2MY3SYS5FORMS7CONTROL7Lt_50F0ER7MESSAGE@8                                        144     0.01145      0.00%     0.83%
        DEFWINDOWPROC                                                                        143     0.00297      0.00%     0.21%
        __ZN2MY3SYS6OBJECT9CLASSNAMEEv@4                                                     667     0.00056      0.00%     0.04%
        FB_WSTRCOMPARE                                                                       667     0.00029      0.00%     0.02%
        GETWINDOWLONGPTR                                                                     667     0.00024      0.00%     0.02%

DRAWTHEMEPARENTBACKGROUND                                                                     11     0.00130      0.00%

        __ZN2MY3SYS5FORMS7CONTROL7Lt_50F0ER7MESSAGE@8                                         22     0.00074      0.00%    56.63%
        DEFWINDOWPROC                                                                         22     0.00019      0.00%    14.50%
        __ZN2MY3SYS6OBJECT9CLASSNAMEEv@4                                                      22     0.00002      0.00%     1.18%
        FB_WSTRCOMPARE                                                                        22     0.00000      0.00%     0.31%
        GETWINDOWLONGPTR                                                                      22     0.00000      0.00%     0.30%

ENUMTHREADWINDOWS                                                                              1     0.00003      0.00%

        REALLOCATE                                                                             1     0.00000      0.00%     1.19%
        GETWINDOWLONGPTR                                                                       5     0.00000      0.00%     0.90%

FLUSHMENUTHEMES                                                                                1     0.00000      0.00%

        {fbfp}FvvE$1                                                                           1     0.00000      0.00%    75.56%

GETMESSAGE                                                                                   716   299.22898     99.44%

        CALLWINDOWPROC                                                                       621     0.10508      0.03%     0.04%
        __ZN14CLASSCONTAINER12GETCLASSPROCEP6HWND__@4                                        621     0.01646      0.01%     0.01%
        DEFWINDOWPROC                                                                        214     0.00882      0.00%     0.00%
        __ZN2MY3SYS5FORMS7CONTROL7Lt_50F0ER7MESSAGE@8                                        216     0.00543      0.00%     0.00%
        __ZN2MY3SYS5FORMS7CONTROL7Lt_5110ER7MESSAGE@8                                        621     0.00187      0.00%     0.00%
        __ZN2MY3SYS6OBJECT9CLASSNAMEEv@4                                                     837     0.00072      0.00%     0.00%
        GETWINDOWLONGPTR                                                                     837     0.00038      0.00%     0.00%
        FB_WSTRCOMPARE                                                                       837     0.00038      0.00%     0.00%

GETWINDOWTEXT                                                                                 21     0.00105      0.00%

        __ZN14CLASSCONTAINER12GETCLASSPROCEP6HWND__@4                                         21     0.00087      0.00%    82.72%
        __ZN2MY3SYS5FORMS7CONTROL7Lt_5110ER7MESSAGE@8                                         21     0.00005      0.00%     4.66%
        CALLWINDOWPROC                                                                        21     0.00003      0.00%     2.50%
